fid,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
834,22713039,Xanthomixis cinereiceps,1,1,1,"Safford and Hawkins, 2013",Joe Taylor (BirdLife International),2016,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,32.80267427,14.0299612
835,22712985,Bernieria madagascariensis,1,1,1,"Safford and Hawkins, 2013",Joe Taylor (BirdLife International),2016,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,72.46943289,38.17415043
836,22722601,Buthraupis montana,1,1,1,"Ridgley, 2003, Isler & Isler, 1999; Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,98.55554924,24.59085456
837,22724057,Cacicus solitarius,1,1,1,"Ridgely, 2002","WWF-US, 2000; NatureServe, 2002",2016,0,, ,Also known as Solitary Cacique (Ridgely and Greenfield 2001).,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,231.0595395,737.1800546
838,22699182,Camptostoma obsoletum,1,1,1,"Ridgely, 2002","NatureServe, 2002",2021,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,2.483419896,0.066753374
839,22703191,Campylorhamphus pusillus,1,1,1,"Ridgely, 2002","TNC-Wings, 1999; NatureServe, 2002",2020,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,56.75196385,11.83437063
840,22720359,Spinus pinus,1,1,2,"Ridgley, 2003, Clement, 1999;Alderfer, 2006;Peterson, 1980; Peterson, 1990",WILDSPACETM 2002,2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,383.2820139,429.8404422
841,22711249,Certhia brachydactyla,1,1,1,"Porter, 1996; Flint, 1984; Fry, 2000; Cramp, 1997; Beaman and Madger 1998, Harrop and Quinn 1996",BirdLife International,2016,0,, , ,0,2022.1,2008,BirdLife International and Handbook of the Birds of the World,737.4683064,366.4173814
842,22720407,Spinus tristis,1,1,2,"Poole and Gill, 1992",WILDSPACETM 2002,2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,560.0146311,338.3699211
843,22720407,Spinus tristis,1,1,1,"Ridgley, 2003, Sibley, 2000; Alderfer, 2006; Poole and Gill, 1992","WILDSPACETM 2002; NatureServe, 2002",2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,461.1795179,547.0494787
