#no	Lineage_Name	found	tested	vector_species	method	country	site	Reference_Name	comment
212	EUSE2	1	164	Simulium vernum	PCR, mosquitoes without blood meals	Czech Republic	Fláje Dam	Synek et al 2016	In nests of Aegolius funereus
213	EUSE2	5	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
214	EUSE2	 	 	Simulium securiforme	PCR, thorax, unfed	Czech Republic	Bohemia Forest, Vltava river valley	Synek et al 2013b	 
215	GAGLA03	1	149	Culex pipiens	PCR , whole mosquitoes	France	Sussargues	Zele et al 2014	 
216	GAGLA03	 	 	Culicoides circumscriptus	PCR, mosquitoes without blood meals	Spain	Donana National Park	Ferraguti et al 2013b	 
217	GAGLA06	1	86	Simulium vernum	PCR , whole mosquitoes	Germany	Eastern Westphalia	Chakarov et al 2020	 
218	GALLUS01	 	 	Culex pipiens	PCR, thorax, absence of host DNA	Japan	Rinshi-no-mori Park	Kim & Tsuda 2010	 
219	GALLUS01	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
220	GALLUS01	 	 	Culex pipiens	PCR , whole mosquitoes	Japan	Nihon University farm	Shirotani et al 2009	1 positive pool/276 pools tested (811 mosquitoes
221	GALLUS01	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
222	GALLUS01	 	 	Armigeres subalbatus	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
223	GALLUS01	 	 	Aedes esoensis	PCR, thorax, unfed	Japan	Kushiro Zoo	Ejiri et al 2011c	 
224	GALLUS01	 	 	Culex inatomii	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
225	GALLUS01	 	 	Culex sp.	PCR , whole mosquitoes	Brazil	Mata Seca State Park	Ferreira et al 2016	1 pool postive / 43 pools tested (314 mosquitoes)
226	GALLUS02	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
227	GALLUS02	 	 	Culex tritaeniorhynchus	PCR, abdomen, blood filled	Japan	Marinepia Aquarium	Inumaru et al 2021a	 
228	GALLUS02	 	 	Culex tritaeniorhynchus	PCR, abdomen, blood filled	Japan	Marinepia	Inumaru et al 2021a	bloodfed
229	GALLUS17	3	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
230	GALLUS34	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
231	GALLUS35	2	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
232	GALLUS37	2	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
233	GALLUS42	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
234	GALLUS43	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
235	GALLUS44	1	 	Simulium asakoae	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
236	GALLUS45	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
237	GALLUS46	1	 	Simulium chumpornense	PCR, abdomen, blood filled	Thailand	 	Pramual et al 2020	Blood meal determined as from Gallus gallus
238	GIMIS01	1	39	Gigantodax misitu	PCR, salivary gland and mid gut	Colombia	Chingaza PNN	Lotta et al 2016	 
239	GRW04	3	533	Culex pipiens	PCR, oocysts and sporozoites	Japan	Rinshi-no-mori Park	Kim & Tsuda 2015	 
240	GRW04	 	 	Culex pipiens	PCR, thorax, unfed	Japan	Sakata wetland	Kim & Tsuda 2012	 
241	GRW04	 	 	Culex pipiens	PCR, abdomen	Japan	Nihon University farm	Odagawa et al unpubl	 
242	GRW04	1	164	Culex pipiens	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
243	GRW04	 	 	Culex quinquefasciatus	PCR , whole mosquitoes	Japan	 	Ejiri et al 2008	 
244	GRW04	1	96	Uranotaenia sp.	PCR, head and thorax	Madagascar	Maromizaha	Schmid et al 2017a	 
245	GRW06	 	 	Culex pipiens	PCR , whole mosquitoes	Austria	 	Schoener et al 2017	 
246	GRW06	2	543	Culex pipiens	PCR , whole mosquitoes	France	Tour Carbonniere	Zele et al 2014	 
247	GRW06	1	165	Culex pipiens	PCR , whole mosquitoes	France	Marais du Vigueirat	Zele et al 2014	 
248	GRW06	 	 	Coquillettidia aurites	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
249	GRW06	 	 	Culex annulioris	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
250	GRW09	 	 	Coquillettidia aurites	PCR, head and thorax	Cameroon	 	Njabo et al 2009	 
251	GRW09	 	 	Coquillettidia metallica	PCR, head and thorax	Cameroon	 	Njabo et al 2009	 
252	GRW09	 	 	Coquillettidia pseudoconopas	PCR, head and thorax	Cameroon	 	Njabo et al 2009	 
253	GRW09	 	 	Culex neavei	PCR, thorax, absence of host DNA	Cameroon	 	Njabo et al 2011	 
