#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
16482	ZOLEU02	L.AK18	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Migratory	Unknown	Wild	North America	United States	Alaska	Denali Highway	63°07.00000', -146°33.00000'	 	 	Oakgrove et al 2014	 
16483	ZOLEU02	LISP_CA_ELW_9L	Leucocytozoon	Passeriformes	Fringillidae	Melospiza	Melospiza lincolnii	 	Resident	Unknown	Wild	North America	United States	California	China Creek Park	36°44.00000', -119°29.00000'	3	22	Walther et al 2016a	 
16484	ZOLEU02	LISP_CA_ELW_9L	Leucocytozoon	Passeriformes	Fringillidae	Passerella	Passerella iliaca	 	Resident	Unknown	Wild	North America	United States	California	China Creek Park	36°44.00000', -119°29.00000'	1	6	Walther et al 2016a	 
16485	ZOLEU02	 	Leucocytozoon	Passeriformes	Tyrannidae	Empidonax	Empidonax alnorum	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	7	Galen et al 2018	 
16486	ZOLEU02	 	Leucocytozoon	Passeriformes	Tyrannidae	Empidonax	Empidonax hammondii	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	1	Galen et al 2018	 
16487	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	1	Galen et al 2018	 
16488	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	6	17	Galen et al 2018	 
16489	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 50	65°13.82000', -146°56.61960'	3	6	Galen et al 2018	 
16490	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 35.8	65°09.80458', -147°19.27422'	3	4	Galen et al 2018	 
16491	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Melospiza	Melospiza lincolnii	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	5	Galen et al 2018	 
16492	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Melospiza	Melospiza lincolnii	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 50	65°13.82000', -146°56.61960'	3	3	Galen et al 2018	 
16493	ZOLEU02	 	Leucocytozoon	Passeriformes	Parulidae	Vermivora	Vermivora celata	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	10	Galen et al 2018	 
16494	ZOLEU02	 	Leucocytozoon	Passeriformes	Parulidae	Seiurus	Seiurus noveboracensis	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	1	Galen et al 2018	 
16495	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Passerculus	Passerculus sandwichensis	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	7	7	Galen et al 2018	 
16496	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Passerculus	Passerculus sandwichensis	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway High Valley	63°04.57260', -146°13.45380'	1	4	Galen et al 2018	 
16497	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Passerella	Passerella iliaca	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	3	Galen et al 2018	 
16498	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Passerella	Passerella iliaca	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	6	6	Galen et al 2018	 
16499	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Passerella	Passerella iliaca	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	2	2	Galen et al 2018	 
16500	ZOLEU02	 	Leucocytozoon	Passeriformes	Sylviidae	Phylloscopus	Phylloscopus borealis	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	9	Galen et al 2018	 
16501	ZOLEU02	 	Leucocytozoon	Passeriformes	Sylviidae	Regulus	Regulus calendula	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	3	Galen et al 2018	 
16502	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Spizella	Spizella arborea	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	8	8	Galen et al 2018	 
16503	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Spizella	Spizella arborea	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway High Valley	63°04.57260', -146°13.45380'	1	1	Galen et al 2018	 
16504	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	20	22	Galen et al 2018	 
16505	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	5	7	Galen et al 2018	 
16506	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	3	7	Galen et al 2018	 
16507	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia leucophrys	 	Unknown	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2018	 
16508	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	10	 	Fecchio et al 2019d	 
16509	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco hyemalis	 	Resident	Adult	Wild	North America	United States	 	Aspen (CO)	39°18.01200', -106°36.03834'	5	22	Martinez-Renau et al 2022	 
16510	ZOLEU02	 	Leucocytozoon	Passeriformes	Fringillidae	Junco	Junco vulcani	 	Resident	Adult	Wild	North America	Costa Rica	 	Cerro de la muerte	09°33.18000', -083°45.40260'	1	37	Martinez-Renau et al 2022	 
