"","x"
"334","Attila cinnamomeus"
"335","Aulacorhynchus prasinus"
"336","Automolus infuscatus"
"337","Cercomacra nigrescens"
"338","Automolus rufipileatus"
"339","Galbula cyanicollis"
"340","Thamnophilus amazonicus"
"341","Automolus paraensis"
"342","Attila spadiceus"
"343","Thamnophilus schistaceus"
"344","Epinecrophylla haematonota"
"345","Thamnomanes saturninus"
"346","Willisornis poecilinotus"
"347","Gymnopithys salvini"
"348","Paroaria capitata"
"349","Rhynchocyclus olivaceus"
"350","Philydor erythrocercum"
"351","Syndactyla ucayalae"
"352","Atlapetes albinucha"
"353","Passerella iliaca"
"354","Pipilo maculatus"
"355","Molothrus ater"
"356","Myiothlypis coronatus"
"357","Geothlypis trichas"
"358","Cardellina pusilla"
"359","Sitta carolinensis"
"360","Seiurus noveboracensis"
"361","Basileuterus coronatus"
"362","Myiothlypis coronata"
"363","Diglossopis caerulescens"
"364","Turdus leucops"
"365","Thryothorus euophrys"
"366","Turdus nigriceps"
"367","Dendroica pensylvanica"
"368","Aglaeactis castelnaudii"
"369","Aglaeactis cupripennis"
"370","Ammodramus aurifrons"
"371","Myiothlypis nigrocristata"
"372","Campylopterus largipennis"
"373","Chalcostigma herrani"
"374","Xenopipo unicolor"
"375","Cistothorus platensis"
"376","Coeligena coeligena"
"377","Diglossa albilatera"
"378","Diglossa brunneiventris"
"379","Doryfera ludoviciae"
"380","Eutoxeres condamini"
"381","Habia rubica"
"382","Henicorhina leucophrys"
"383","Lepidothrix coronata"
"384","Lophotriccus pileatus"
"385","Metriopelia melanoptera"
"386","Mionectes oleagineus"
"387","Myioborus melanocephalus"
"388","Myiophobus fasciatus"
"389","Ochthoeca oenanthoides"
"390","Premnoplex brunnescens"
"391","Premnornis guttuligera"
"392","Synallaxis azarae"
"393","Thalurania furcata"
"394","Thraupis cyanocephala"
"395","Poecile atricapilla"
"396","Parus carolinensis"
"397","Poecile atricapillus x carolinensis"
"398","Baeolophus bicolor"
"399","Baeolophus ridgwayi"
"400","Conopophaga lineata"
"401","Basileuterus flaveolus"
"402","Tyrannus melancholicus"
"403","Myiarchus tyrannulus"
"404","Coryphistera alaudina"
"405","Tiaris fuliginosus"
"406","Paroaria dominicana"
"407","Thamnophilus pelzelni"
"408","Coereba flaveola"
"409","Coryphospingus pileatus"
"410","Tangara cayana"
"411","Coryphospingus cucullatus"
"412","Basileuterus hypoleucus"
"413","Volatinia jacarina"
"414","Basileuterus culicivorus"
"415","Basileuterus fulvicauda"
"416","Phaethornis yaruqui"
"417","Basileuterus luteoviridis"
"418","Basileuterus tristriatus"
"419","Bernieria madagascariensis"
"420","Xanthomixis zosterops"
"421","Calicalicus madagascariensis"
"422","Falco sparverius"
"423","Bombycilla garrulus"
"424","Brachypteracias leptosomus"
"425","Fringilla montifringilla"
"426","Acrocephalus griseldis"
"427","Phylloscopus collybita"
"428","Phylloscopus borealis"
"429","Erithacus akahige"
"430","Phylloscopus occipitalis"
"431","Hippolais icterina"
"432","Phylloscopus sibilatrix"
"433","Carpodacus erythrinus"
"434","Erithacus rubecula"
"435","Locustella naevia"
"436","Prunella modularis"
"437","Regulus regulus"
"438","Sylvia curruca"
"439","Lanius collurio"
"440","Corvus caurinus"
"441","Phylloscopus brehmi"
"442","Calidris melanotos"
"443","Cygnus columbianus"
"444","Catharus ustulatus"
"445","Ixoreus naevius"
"446","Petrochelidon pyrrhonota"
"447","Vermivora celata"
"448","Carduelis pinus"
"449","Tachycineta bicolor"
"450","Carduelis cannabina"
"451","Certhia familiaris"
"452","Emberiza citrinella"
"453","Parus palustris"
"454","Troglodytes troglodytes"
"455","Catharus fuscescens"
"456","Cardinalis cardinalis"
"457","Melospiza georgiana"
"458","Seiurus aurocapilla"
"459","Zonotrichia albicollis"
"460","Ninox scutulata"
"461","Bubulcus ibis"
"462","Falco eleonorae"
"463","Buteo buteo"
"464","Butastur indicus"
"465","Falco cherrug"
"466","Bubo sumatranus"
"467","Bucco macrodactylus"
"468","Estrilda astrild"
"469","Sarkidiornis melanotos"
"470","Indicator variegatus"
"471","Hypsipetes madagascariensis"
"472","Corythornis madagascariensis"
"473","Dacnis lineata"
"474","Chrysococcyx caprius"
"475","Buteo hemilasius"
"476","Buthraupis montana"
"477","Conirostrum albifrons"
"478","Conirostrum cinereum"
"479","Diglossa cyanea"
"480","Ocreatus underwoodii"
"481","Pheucticus chrysogaster"
"482","Tangara nigroviridis"
"483","Tangara viridicollis"
"484","Thraupis bonariensis"
"485","Bubo virginianus"
"486","Chloroceryle americana"
"487","Eupetomena macroura"
"488","Glaucis hirsutus"
"489","Pipra pipra"
"490","Conopophaga melanops"
"491","Campylorhynchus fasciatus"
"492","Campylorhamphus pusillus"
"493","Campephilus rubricollis"
"494","Ochthoeca leucophrys"
"495","Amazilia amazilia"
"496","Heliodoxa aurescens"
"497","Leptopogon superciliaris"
"498","Pheugopedius eisenmanni"
"499","Ramphocelus carbo"
"500","Thripadectes melanorhynchus"
"501","Campylopterus villaviscensio"
"502","Thryothorus leucotis"
"503","Pheugopedius genibarbis"
"504","Myiarchus ferox"
"505","Cantorchilus superciliaris"
"506","Camptostoma obsoletum"
"507","Gnorimopsar chopi"
"508","Thamnophilus caerulescens"
"509","Caprimulgus longirostris"
"510","Carduelis barbata"
"511","Cardellina canadensis"
"512","Passerina cyanea"
"513","Agelaius phoeniceus"
"514","Icterus galbula"
"515","Carduelis carduelis"
"516","Carduelis chloris"
"517","Emberiza variabilis"
"518","Carpodacus pulcherrimus"
"519","Pyrrhula pyrrhula"
"520","Casiornis rufus"
"521","Casiornis fuscus"
"522","Catamenia analis"
"523","Leptasthenura pileata"
"524","Metallura phoebe"
"525","Xenodacnis parina"
"526","Phrygilus atriceps"
"527","Cathartes aura"
"528","Catharus frantzii"
"529","Picoides pubescens"
"530","Hylocichla mustelina"
"531","Turdus fuscater"
"532","Gavia immer"
"533","Turdus falcklandii"
"534","Turdus olivater"
"535","Catamenia homochroa"
"536","Turdus amaurochalinus"
"537","Phrygilus patagonicus"
"538","Grallaricula peruviana"
"539","Pheucticus ludovicianus"
"540","Catharus dryas"
"541","Thraupis episcopus"
"542","Turdus albicollis"
"543","Regulus calendula"
"544","Colibri thalassinus"
"545","Myadestes occidentalis"
"546","Vireo gilvus"
